,degree,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,constraint
degree,1.0,0.9999999999999994,0.7512071139266153,0.7448209773541725,0.5803673527707637,0.29875761801171413,0.34172240939490245,0.825656621903876,0.5592366512551203,-0.5767387501267044
degree_centrality,0.9999999999999994,1.0,0.7512071139266164,0.7448209773541713,0.5803673527707656,0.2987576180117142,0.3417224093949032,0.8256566219038741,0.5592366512551166,-0.5767387501267036
in_degree,0.7512071139266153,0.7512071139266164,1.0,0.11917520074631714,0.2419776009255553,0.22162031320138745,0.20191813088412472,0.6761202017957912,0.40524070641781273,-0.38127427985028517
out_degree,0.7448209773541725,0.7448209773541713,0.11917520074631714,1.0,0.6278335131495222,0.22562360290400593,0.3127342745185757,0.5577568582951159,0.4307577414625739,-0.34514495925112015
betweenness_centrality,0.5803673527707637,0.5803673527707656,0.2419776009255553,0.6278335131495222,1.0,0.1874725674113162,0.299999084746223,0.6612160348278118,-0.015124122385045404,-0.19159400367122875
closeness_centrality,0.29875761801171413,0.2987576180117142,0.22162031320138745,0.22562360290400593,0.1874725674113162,1.0,0.2663494954235432,0.1953536985654211,0.08551304394466203,-0.4599689989990346
eigenvector_centrality,0.34172240939490245,0.3417224093949032,0.20191813088412472,0.3127342745185757,0.299999084746223,0.2663494954235432,1.0,0.21638842091213442,0.1338484183469987,-0.20979959327110959
pagerank,0.825656621903876,0.8256566219038741,0.6761202017957912,0.5577568582951159,0.6612160348278118,0.1953536985654211,0.21638842091213442,1.0,0.19936600651471376,-0.19980232190839625
clustering_coefficient,0.5592366512551203,0.5592366512551166,0.40524070641781273,0.4307577414625739,-0.015124122385045404,0.08551304394466203,0.1338484183469987,0.19936600651471376,1.0,0.10090585790979839
constraint,-0.5767387501267044,-0.5767387501267036,-0.38127427985028517,-0.34514495925112015,-0.19159400367122875,-0.4599689989990346,-0.20979959327110959,-0.19980232190839625,0.10090585790979839,1.0
