node,original_rank,median_bootstrap_rank,rank_95ci_low,rank_95ci_high,rank_stability
Jennon,1,1.5,1.0,3.0,0.9794820163193118
Catherine,2,2.0,1.0,4.274999999999999,0.9662800202100144
Claudatte,3,5.0,3.0,9.274999999999999,0.9375302542361307
Jean,4,4.0,1.725,43.099999999999994,0.6534900639195622
Marie,5,8.5,3.725,24.77499999999997,0.770871215252208
Marguitte,6,4.0,1.725,15.199999999999989,0.8646951316197107
Demenge,7,7.0,3.0,51.89999999999995,0.5063414485374544
Margueritte,8,9.0,4.0,15.0,0.8968161176333875
Jehennon,9,11.5,5.0,21.374999999999993,0.85385192693963
"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Et",10,50.0,10.175,1003.6999999999998,-9.481327076470357
Nicolas,11,9.5,4.725,112.22499999999985,-0.1387826508715022
Jean Demenge,12,21.0,6.0,312.19999999999976,-2.110509664085674
Jennon femme du precedent,13,14.0,5.725,35.57499999999998,0.6925995092255137
Catherine femme du precedent,14,12.0,5.0,20.099999999999994,0.8475549076787333
Jehenne,15,18.5,4.0,81.02499999999998,0.2637566156578015
Jean Girardin Haxo de la Fosse,16,847.0,19.725,2154.4749999999995,-23.657983056102978
Claudon,17,27.0,7.0,91.59999999999991,0.1512361930430821
Fran,18,28.0,6.725,1356.2499999999948,-22.770146127308102
Collatte,19,50.0,11.175,395.59999999999957,-2.972201087744864
Colas,20,23.5,6.725,174.99999999999983,-0.822058258205894
