trial_id,filename,outcome,text_length,reputation,suspected,accused,witness,quarrel,threat,confess,sabbat,torture,death,released,banished
w001,w001.pdf,death_sentence,24146,19,9,7,13,11,3,3,2,5,22,2,1
w002,w002.pdf,death_sentence,13597,18,12,3,12,3,1,2,1,7,14,0,0
w003,w003.pdf,death_sentence,39298,38,12,7,18,8,8,3,0,0,28,0,0
w004,w004.pdf,death_sentence,4577,0,0,2,0,0,2,2,0,4,3,0,0
w005,w005.pdf,death_sentence,6854,10,4,3,2,0,1,1,0,3,6,0,0
w006,w006.pdf,death_sentence,11816,10,4,20,4,4,1,1,0,3,11,0,0
w007,w007.pdf,death_sentence,12291,7,3,4,3,1,2,2,0,3,12,1,0
w008,w008.pdf,death_sentence,13133,10,3,2,8,0,0,4,2,4,10,0,0
w009,w009.pdf,death_sentence,9986,4,2,6,5,2,0,2,3,6,17,0,0
w010,w010.pdf,death_sentence,5606,3,0,2,4,1,0,2,2,3,4,0,0
w011,w011.pdf,death_sentence,12321,10,3,8,5,2,0,2,0,2,3,0,0
w012,w012.pdf,death_sentence,14464,10,1,5,11,5,0,1,2,2,14,0,0
w013,w013.pdf,death_sentence,21942,9,5,2,6,5,1,2,0,7,16,1,1
w014,w014.pdf,released,11357,8,2,6,4,6,1,1,2,4,7,1,0
w015,w015.pdf,death_sentence,17567,0,0,2,3,0,0,3,0,0,3,0,0
w016,w016.pdf,unknown,8036,11,8,0,3,3,0,0,0,1,1,2,0
w017,w017.pdf,unknown,3287,1,2,5,1,0,0,0,0,1,0,1,0
w018,w018.pdf,death_sentence,16646,17,13,3,5,3,4,1,1,4,4,0,0
w019,w019.pdf,death_sentence,5722,16,4,3,4,2,0,0,0,0,3,1,0
w020,w020.pdf,unknown,7176,0,0,1,0,0,0,0,2,1,0,0,0
w021,w021.pdf,unknown,2491,10,2,0,0,0,0,0,1,0,0,1,0
w022,w022C.pdf,death_sentence,9889,1,1,1,2,1,0,4,0,15,5,0,0
w022,w022B.pdf,death_sentence,8565,2,1,2,1,1,0,2,0,5,1,2,0
w022,w022A.pdf,death_sentence,17291,5,0,3,4,3,3,2,2,5,6,1,0
w022,w022.pdf,death_sentence,23119,0,1,2,3,0,2,3,2,4,1,1,0
w023,w023.pdf,death_sentence,15456,2,5,3,5,2,1,5,1,6,5,0,0
w024,w024.pdf,death_sentence,17726,19,9,3,10,3,2,1,0,8,14,5,0
w025,w025.pdf,death_sentence,24031,15,4,9,5,11,0,3,0,3,13,2,1
