name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
Le maire Anthoine Rougier,witness,unknown,,mayor,1,False,False,False
Martin Bourdon,witness,unknown,Champegnoult,laboureur,2,False,False,False
Demenge Gané,witness,male,Bussang,laboureur,1,False,False,False
Le maire Estienne Cougnat,witness,unknown,,mayor,1,False,False,False
Nicolas Claudon,witness,male,Gondrexon,laboureur,1,False,False,False
Le maire Mongenot Estienne,witness,unknown,Domjevin,mayor,2,False,False,False
Roze veuve de feu le maire Mongenot Estienne,witness,female,Domjevin,mayor,1,False,False,False
Le maire Demenge Nicklauss,witness,male,,mayor,1,False,False,False
le maire Nicolas Adam,witness,male,Vardenal,mayor,1,False,False,False
Le maire Jean Dediat,witness,male,,mayor,1,False,False,False
le maire Nicolas Thirion,witness,male,,mayor,1,False,False,False
le maire Jean Waultrin,witness,male,,mayor,1,False,False,False
Le maire Michiel Jean Michiel,witness,male,Belmont,mayor,1,False,False,False
le maire Thiery Prevost,witness,unknown,Essegney,mayor,1,False,False,False
Jean Grainel,witness,male,Essegney,laboureur,1,False,True,False
Francois Marchal,witness,unknown,,laboureur,1,False,False,False
Francois Sauffroy,witness,unknown,Brantigny,laboureur,1,False,False,False
Perrin Boulengier,witness,unknown,St,laboureur,1,False,False,False
Claudin Didillot,witness,unknown,St,laboureur,1,False,False,False
Gerard Pierrot,witness,unknown,St,laboureur,1,False,False,False
Colas Thouvenin,witness,unknown,St,laboureur,1,False,False,False
Jean Petit Jean,witness,male,St,laboureur,2,False,False,False
Symon Baltaire,witness,unknown,St,laboureur,1,False,True,False
Claudin Petit,witness,unknown,St,laboureur,1,False,False,False
Didier Marsellot,witness,unknown,St,laboureur,1,False,False,False
Didier Messe,witness,unknown,St,laboureur,1,False,False,False
Claudon Talleron,witness,male,St,laboureur,1,False,False,False
Andreu Jacquinot,witness,unknown,St,laboureur,1,False,False,False
Jean Georgeon,witness,male,St,laboureur,1,False,False,False
Claudon Gobel,witness,male,St,laboureur,1,False,False,False
Le maire Pancras Vincenot,witness,unknown,St,mayor,1,False,False,False
Mongin Tonnerel,witness,unknown,,laboureur,1,False,False,False
Claude Magister,witness,male,,laboureur,1,False,False,False
Le maire Michiel,witness,unknown,,mayor,1,False,False,False
Le maire Conradt,witness,unknown,,mayor,1,False,False,False
Austien le Maire,witness,unknown,,laboureur,1,False,False,False
Blaisse Pierre,witness,male,,laboureur,1,False,False,False
Le maire Demenge Mareschal,witness,male,,mayor,1,False,False,False
Anthoine Brocquelat,witness,unknown,,laboureur,2,False,False,False
Jean Febuatte,witness,male,Vieville,laboureur,1,False,False,False
Le maire Philippe,witness,unknown,Hault,mayor,1,False,False,False
Le maire Gaspard Vauthier,witness,unknown,,mayor,1,False,False,False
Le maire Demenge Bourlier,witness,male,,mayor,1,False,True,False
Le maire Claude le Bailly,witness,male,Sainct Margarée,mayor,2,False,False,False
Le maire Jean Lyenard,witness,male,Mouriviller,mayor,1,False,False,False
Le maire Nicolas Hougney,witness,male,,mayor,1,False,False,False
Margo veuve feu le maire Nicolas,witness,female,,mayor,1,False,False,False
Bastienne veuve feu le maire Claudel le maimbourg,witness,female,,mayor,1,False,False,False
Le maire Jacquot Masson,witness,unknown,,mayor,1,False,False,False
Holbin Grand Holbin,witness,unknown,,laboureur,1,False,False,False
Le maire Colas Lolbiat,witness,unknown,,mayor,1,False,False,False
Le maire Claude le Clerc,witness,male,,mayor,1,False,False,False
Le maire Jean Serainville,witness,male,,mayor,1,False,False,False
Le maire Dieudonné Galand,witness,unknown,,mayor,1,False,False,False
Honn homme le maire Claudon Meschot,witness,male,,mayor,1,False,False,False
Le maire Claudon Chadat,witness,male,,mayor,1,False,False,False
Le maire Colas Brouvellant,witness,unknown,,mayor,1,False,False,False
Le maire Nicolas George,witness,male,Moriviller,mayor,1,False,False,False
Le maire Jean Chadat,witness,male,Moriviller,mayor,1,False,False,False
Honneste Homme le maire Jean Vincent,witness,male,,mayor,1,False,False,False
Honneste homme le maire Jean Vincent,witness,male,Moyemont,mayor,1,False,False,False
Honn homme le maire Claudon Biberat,witness,male,,mayor,1,False,False,False
"Didier ?
Reputation only.
(4) Le maire Bastien Fourney",witness,male,,mayor,1,False,False,False
Le maire Bastien Fournier de la Neufville,witness,male,,mayor,1,False,False,False
Le maire Demenge Guenare de la Neufville,witness,male,,mayor,1,False,False,False
Le maire Mengel Houssemand,witness,unknown,Mandray,mayor,1,False,False,False
Le maire Anthoine Hamo,witness,unknown,,mayor,1,False,False,False
Claude Grand Jean,witness,male,Mouriviller,laboureur,1,False,False,False
Le maire Thiebault Vicaire,witness,unknown,Mouriviller,mayor,1,False,False,False
Le maire Francois Louys,witness,unknown,Moyen,mayor,1,False,False,False
Chretienne femme Demenge Moictrier,witness,female,St Nicolas,laboureur,1,False,False,False
Demenge Henry des Moictrier,witness,male,St Nicolas,laboureur,1,False,False,False
Jean Humbert,witness,male,St Nicolas,laboureur,1,False,False,False
Le maire Nicolas Alix,witness,male,,mayor,1,False,False,False
Le maire Mengin Poiresson,witness,unknown,,mayor,1,False,False,False
