name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
Jean Bulme et Didiere sa femme,accused,female,Mazerulles,,1,False,False,False
B 2192 no 1; witch 138,accused,unknown,Mazerulles,,1,False,False,False
B 2192 no 2,accused,female,Sallonne,,1,False,False,False
B 2197; witch 004,accused,female,Sallonne,,1,False,False,False
B 2199 no 1; witch 005,accused,female,Bourget,,1,False,False,False
B 2199 no 2; witch 006,accused,female,,,1,False,False,False
B 2199 no 3; witch 007,accused,female,Laitre-sous-,,1,False,False,False
B 2199 no 4; witch 139,accused,female,Amance,,1,False,False,False
B 2203 no 1; witch 009,accused,female,Champegnoult,,1,False,False,False
B 2203 no 2; witch 010,accused,male,Champegnoult,,1,False,False,False
B 2211 no 1; witch 011,accused,female,Amance,,1,False,False,False
B 2512; witch 012,accused,female,Seuche,,1,False,False,False
B 2521 no 1; Witch 013,accused,female,Xennenay,,1,False,False,False
Claude Hocquart,accused,female,,,1,False,False,False
B 2583 no 1; witch 015,accused,female,,,1,False,False,False
B 2583 no 2; witch 016,accused,female,Thillot,,1,False,False,False
B 2583 no 3; witch 017,accused,unknown,,,1,False,False,False
B 2583 no 4; witch 018,accused,female,,,1,False,False,False
B 2583 no 5; witch 019,accused,male,Xouarupt,,1,False,False,False
B 2583 no 6; witch 020,accused,male,,,1,False,False,False
B 2583 no 7; witch 021,accused,female,,,1,False,False,False
B 2584; witch 022,accused,unknown,Ramonchamp,,1,False,False,False
B 3317 no 1; Witch 023,accused,female,Blamont,,1,False,False,False
B 3317 no 2; Witch 024,accused,female,Blamont,,1,False,False,False
B 3323 no 1; witch 025,accused,female,Leintrey,,1,False,False,False
B 3323 no 2; witch 026,accused,female,Leintrey,,1,False,False,False
B 3323 no 3; witch 027,accused,female,Leintrey,,1,False,False,False
B 3323 no 4; witch 028,accused,female,Leintrey,,1,False,False,False
B 3323 no 5; witch 029,accused,unknown,Leintrey,,1,False,False,False
B 3323 no 6; witch 030,accused,male,Leintrey,,1,False,False,False
B 3323 no 7; witch 031,accused,female,Leintrey,,1,False,False,False
B 3323 no 8; witch 032,accused,unknown,Blemerey,,1,False,False,False
B 3323 no 9; Witch 033,accused,female,Leintrey,,1,False,False,False
B 3325 no 1; witch 034,accused,male,Benamenil,,1,False,False,False
B 3325 no 2; witch 035,accused,female,Domjevin,,1,False,False,False
B 3325 no 3; witch 036,accused,female,Domjevin,,1,False,False,False
B 3327 no 1; witch 037,accused,female,Domjevin,,1,False,False,False
B 3327 no 2; Witch 038,accused,female,Domjevin,,1,False,False,False
B 3327 no 3; witch 039,accused,female,Banc,,1,False,False,False
B 3327 no 4; Witch 040,accused,male,Reillon,,1,False,False,False
B 3329; Witch 041,accused,female,Repas,,1,False,False,False
B 3333; witch 042,accused,female,Domjevin,,1,False,False,False
B 3335 no 1; witch 043,accused,female,Leintrey,,1,False,False,False
B 3335 no 2; witch 044,accused,female,Blamont,,1,False,False,False
B 3335 no 3; witch 045,accused,unknown,Blamont,,1,False,False,False
B 3343; witch 046,accused,female,Leintrey,,1,False,False,False
B 3345; witch 047,accused,female,Autrepierre,,1,False,False,False
B 3347 no 1; witch 048,accused,male,Autrepierre,,1,False,False,False
B 3347 no 2; witch 049,accused,male,Domjevin,,1,False,False,False
B 3358; witch 050,accused,female,Nutting,,1,False,False,False
B 3358 no 2; witch 051,accused,female,Autrepierre,,1,False,False,False
B 3363; witch 052,accused,female,Autrepierre,,1,False,False,False
B 3365 no 3; witch 053,accused,male,Reillon,,1,False,False,False
B 3365 no 4; witch 054,accused,unknown,Reillon,,1,False,False,False
B 3728; witch 055,accused,female,Void,,1,False,False,False
B 3753; witch 056,accused,male,Epinal,,1,False,False,False
B 3789 no 1; witch 058,accused,female,Docelles,,1,False,False,False
B 3789 no 2; witch 059,accused,female,Brouvelieures,,1,False,False,False
B 3789 No 3; Witch 060,accused,female,Bruy,,1,False,False,False
B 3789 no 4; witch 061,accused,female,Aydoilles,,1,False,False,False
B 3792 no 1; Witch 062,accused,male,Brouvelieures,,1,False,False,False
B 3792 no 2; Witch 063,accused,male,Dompierre,,1,False,False,False
B 3792 no 3; witch 064,accused,female,Dompierre,,1,False,False,False
B 3792 no 4; witch 065,accused,female,Dompierre,,1,False,False,False
