person1,person2,relationship_type,trial_id,evidence_text,confidence
Claudon,Jean Bregeat,spouse_wife,w003,"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",1.0
Jacquotte,Nicolas Tixerand,spouse_wife,w005,"B 2199 no 1; witch 005, Jacquotte femme Nicolas Tixerand, du Bourget d'Amance",1.0
Collatte,Cesar Lorette,spouse_widow,w007,"B 2199 no 3; witch 007, Collatte veuve Cesar Lorette, of Laitre-sous-Amance",1.0
Mariette,Claude Malfourby,spouse_widow,w008,"B 2199 no 4; witch 139, Mariette veuve Claude Malfourby, d'Amance",1.0
Catherine,Claudon Malgrais,spouse_wife,w009,"B 2203 no 1; witch 009, Catherine femme Claudon Malgrais, de Champegnoult",1.0
Margueritte,Jean Estienne,spouse_wife,w011,"B 2211 no 1; witch 011, Margueritte femme Jean Estienne, d'Amance",1.0
Jacotte,Demenge Romary,spouse_wife,w012,"B 2512; witch 012, Jacotte femme Demenge Romary Petit Colin, de Seuche",1.0
Jacotte,Nicolas Fran,spouse_wife,w013,"B 2521 no 1; Witch 013, Jacotte femme Nicolas François Raon de Xennenay",1.0
Chretienne,Jean Parmentier,child_daughter,w015,"B 2583 no 1; witch 015, Chretienne fille Jean Parmentier de l'Estraye",1.0
Remiere,Bastien Clement,spouse_widow,w016,"B 2583 no 2; witch 016, Remiere veuve Bastien Clement Beustal, du Thillot",1.0
Mengeotte,Nicolas Colombain,spouse_wife,w018,"B 2583 no 4; witch 018, Mengeotte femme Nicolas Colombain, de l'Estraye",1.0
Jean,Nicolas Colombain,child_son,w020,"B 2583 no 6; witch 020, Jean fils Nicolas Colombain, de l'Estraye",1.0
Royne,Dilan Parmentier,spouse_widow,w021,"B 2583 no 7; witch 021, Royne veuve Dilan Parmentier, dite des Tartres, de",1.0
Didie,Demenge Pourlatte,spouse_widow,w023,"B 3317 no 1; Witch 023, Didie veuve Demenge Pourlatte, de Blamont",1.0
Jennon,Didier Ramaixe,spouse_widow,w024,"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",1.0
Jeannotte,Claudon Toussaint,spouse_widow,w025,"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",1.0
Sebille,Jean Pierson,spouse_wife,w026,"B 3323 no 2; witch 026, Sebille femme Jean Pierson, de Leintrey",1.0
Pierson,Petit Pierson,child_son,w030,"B 3323 no 6; witch 030, Pierson fils Petit Pierson, de Leintrey",1.0
Didier,Nicolas,spouse_wife,w031,"B 3323 no 7; witch 031, Didier femme Nicolas le Vefue le Viel, de Leintrey",1.0
Clemence,Claudon Marchal,spouse_widow,w035,"B 3325 no 2; witch 035, Clemence veuve Claudon Marchal, de Domjevin",1.0
Jennon,Gerardin Friot,spouse_wife,w036,"B 3325 no 3; witch 036, Jennon femme Gerardin Friot de Domjevin",1.0
Chrestienne,Nicolas Barret,spouse_wife,w037,"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",1.0
Barbelline,Jean Goudot,spouse_wife,w038,"B 3327 no 2; Witch 038, Barbelline femme Jean Goudot, de Domjevin",1.0
Claudatte,Nicolas Chollat,spouse_wife,w041,"B 3329; Witch 041, Claudatte femme Nicolas Chollat, de Repas",1.0
Jennon,Jean Zabey,spouse_widow,w043,"B 3335 no 1; witch 043, Jennon veuve Jean Zabey, de Leintrey",1.0
Hellenix,Barthelemin,spouse_wife,w044,"B 3335 no 2; witch 044, Hellenix femme Barthelemin le Reytre, de Blamont",1.0
Margueritte,Claude Martin,spouse_wife,w046,"B 3343; witch 046, Margueritte femme Claude Martin, de Leintrey",1.0
Jeanne,Demenge Mercier,spouse_wife,w047,"B 3345; witch 047, Jeanne femme Demenge Mercier, d'Autrepierre",1.0
Jehenne,Joseph,spouse_wife,w050,"B 3358; witch 050, Jehenne femme Joseph de la Moictresse, de Nutting",1.0
Rose,Louis Vincent,spouse_wife,w052,"B 3363; witch 052, Rose femme Louis Vincent, d'Autrepierre",1.0
Jeanne,Valentin Claude,spouse_widow,w055,"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",1.0
Fleuratte,Jean Maurice,spouse_wife,w058,"B 3789 no 1; witch 058, Fleuratte femme Jean Maurice, de Docelles",1.0
Georgeatte,Colas Herteman,spouse_wife,w059,"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",1.0
Petroniere,Jean Varnier,spouse_wife,w060,"B 3789 No 3; Witch 060, Petroniere femme Jean Varnier dit Bessat, de Bruyères",1.0
Ysabeau,Nicolas Demenge,spouse_widow,w061,"B 3789 no 4; witch 061, Ysabeau veuve Nicolas Demenge Richard, d'Aydoilles",1.0
Claudate,Jacquat George,spouse_wife,w064,"B 3792 no 3; witch 064, Claudate femme Jacquat George, de Dompierre",1.0
Thomasse,Jean Poirot,spouse_wife,w065,"B 3792 no 4; witch 065, Thomasse femme Jean Poirot, de Dompierre",1.0
Barbe,Jean Mallebarbe,spouse_wife,w069,"B 4077 no 1 Witch 069, Barbe femme Jean Mallebarbe",1.0
Esdeline,Thoussainct Tarrion,spouse_widow,w075,"B 4098; witch 075, Esdeline veuve Thoussainct Tarrion, de Charmes",1.0
Jeanne,Mansuy Magnien,spouse_widow,w089,"B 4576; witch 089, Jeanne veuve Mansuy Magnien, de Neufchâteau",1.0
Gillette,Bastien Jean,spouse_widow,w090,"B 4998; witch 090, Gillette veuve Bastien Jean Page, de Condé (Custines)",1.0
Catherine,Adam Tarillon,spouse_wife,w091,"B 5312 no 1; witch 091, Catherine femme Adam Tarillon de Bassing",1.0
Catherine,Jean Lhuillier,spouse_widow,w092,"B 5312 no 2; Witch 092, Catherine veuve Jean Lhuillier de Maizieres, demeurant à",1.0
Anon,Didier Vosgien,spouse_widow,w093,"B 5312 no 3; witch 093, Anon veuve Didier Vosgien de Bassing",1.0
Senelle,Waisen Petter,spouse_wife,w095,"B 5312 no 5; witch 095, Senelle femme Waisen Petter, de Bisping",1.0
Odile,Martin Claude,spouse_wife,w097,"B 5327 no 2; witch 097, Odile femme Martin Claude, d'Assenoncourt",1.0
Mayette,Dietrich Gaste,spouse_wife,w099,"B 5344 no 2; witch 099, Mayette femme Dietrich Gaste de Wirming",1.0
Synnelle,Schneyder Hanns,spouse_wife,w100,"B 5344 no 3; witch 100, Synnelle femme Schneyder Hanns d'Amange (Insming)",1.0
Synnelle,Schur Adam,spouse_wife,w101,"B 5344 no 4; Witch 101, Synnelle femme Schur Adam d'Amange (Insming)",1.0
Jennon,Lux Barquel,spouse_wife,w102,"B 5354 no 1; Witch 102, Jennon femme Lux Barquel de Blanche Eglise",1.0
Sibille,Jean Vacquaire,spouse_wife,w105,"B 5757; witch 105, Sibille femme Jean Vacquaire d'Einville",1.0
Babillon,Claudon Girard,spouse_wife,w106,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",1.0
Mengette,Jean Cachette,spouse_wife,w107,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",1.0
Mengeatte,Grand Jacques,spouse_widow,w109,B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,1.0
Claudatte,Nicolas,spouse_wife,w111,"B 7122; witch 111, Claudatte femme Nicolas du Val du Mesnil les Gircourt",1.0
Margueritte,Barthelemin Liegey,spouse_widow,w113,"B 7314 no 2; witch 113, Margueritte veuve Barthelemin Liegey d'Ambacourt",1.0
Jennon,Florentin Bouvier,spouse_widow,w116,"B 7137 no 2; witch 116, Jennon veuve Florentin Bouvier, de Parey-sous-Montfort",1.0
Margo,Jean Georges,spouse_wife,w117,"B 7137 no 3; witch 117, Margo femme Jean Georges, de Parey-sous-Montfort",1.0
