source,target,relationship
herbs,"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",TESTIFIED_AGAINST
above.,"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",TESTIFIED_AGAINST
had been crying in poisle,"B 6723 no 2; witch 108, Jean Cachette de Flin",TESTIFIED_AGAINST
?,"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",TESTIFIED_AGAINST
?,"B 8702 no 1; witch 240, Jean Gregoire Mathis de Bertrimoutier",TESTIFIED_AGAINST
?,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",TESTIFIED_AGAINST
Arnauld,"B 7394; witch 125, Pierrot Cosson and his wife Jeannotte, of Malzeville",TESTIFIED_AGAINST
Margueritte femme Nicolas Aubert,"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",TESTIFIED_AGAINST
Colla Symeon,"B 5312 no 4; witch 094, Senelle femme du jeune Enguers, de Guinzeling",TESTIFIED_AGAINST
Elizabetz,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",TESTIFIED_AGAINST
Schlosspetter,"B 5312 no 3; witch 093, Anon veuve Didier Vosgien de Bassing",TESTIFIED_AGAINST
Barbeline femme Claude Micquel,"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",TESTIFIED_AGAINST
Nicolas le Maimbourg de Ginfosse,"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",TESTIFIED_AGAINST
Claudon Jean le petit Nicolas de Neumont,"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay (Ban-de-Sapt)",TESTIFIED_AGAINST
Beniste femme Dieudonné Valence,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",TESTIFIED_AGAINST
Elie femme Colas d'Avould,"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",TESTIFIED_AGAINST
Jean Claudon de Domjevin,"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",TESTIFIED_AGAINST
Jean Claudon de Domjevin,"B 3327 no 2; Witch 038, Barbelline femme Jean Goudot, de Domjevin",TESTIFIED_AGAINST
Lucie veuve Claudon Nicolle,"B 3333; witch 042, Chretienne Simon, femme Demenge Fennay, de Domjevin",TESTIFIED_AGAINST
Barbe Symon femme Laurent François,"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",TESTIFIED_AGAINST
Jean fils feu Jean Babel,"B 8707 no 4; witch 256, Jean Gerardin de la Voivrelle",TESTIFIED_AGAINST
Jehan Simon de la Chapelle,"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",TESTIFIED_AGAINST
Chrestienne femme a Bernard Faltin de Blamont,"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",TESTIFIED_AGAINST
Dedielle femme Michiel Jean Michiel,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",TESTIFIED_AGAINST
Jean Thieriot de la Fosse,"B 8708 no 7; witch 268, Marguitte femme Girardin Haxo de La Fosse",TESTIFIED_AGAINST
Jean Thieriot de la Fosse,"Witch 271; B 8708 no 10, Jean Gerardin Haxo de la Fosse",TESTIFIED_AGAINST
Jennon femme Demenge des Boeufs,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",TESTIFIED_AGAINST
Jennon femme Demenge des Boeufs,"B 8702 no 9; witch 248, Jean Pierron Geliat, de la Neuveville-les-Raon",TESTIFIED_AGAINST
Fleurant Blaise de Hernafain,"Witch 280: B8715 no 3, Claudatte femme Lambert Claudel Ferry de Vicq",TESTIFIED_AGAINST
Hannix fille Husson Bourguignon,"B 4103; witch 076, Didelon l'Huillier et sa femme Bietrix, de Gripport",TESTIFIED_AGAINST
Demenge Jacquot de la Neufville,"B 8736; witch 314, Sebille fille Didier Pescheur de la Neufville les Raon",TESTIFIED_AGAINST
Nicolas Sellier de Charmes,"B 4077 no 2 Witch 070, Claudon la Romaine",TESTIFIED_AGAINST
Jean Voirin,"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",TESTIFIED_AGAINST
Chrepien Cesar Chrepien,"Witch 145: B8667 no 7, Colas Mengin de Saint Remy",TESTIFIED_AGAINST
Laurent Maurisse de Bathelemont,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",TESTIFIED_AGAINST
Dieudonnée femme Jacquin Frampart,"B 8687 no 4; witch 202, Penthecoste femme Georgeon Didier Miette de la Rochatte",TESTIFIED_AGAINST
Meline femme Anthoine Marlier,"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",TESTIFIED_AGAINST
Pieron Jean Pieron,B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,TESTIFIED_AGAINST
Claudel Remy du Void de Belmont,"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",TESTIFIED_AGAINST
Valentine femme Jean Michiel,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",TESTIFIED_AGAINST
Valentine femme Jean Michiel,"B 8721 no 5; Witch 297, Beniste le Houff de Norbepaire (Wisembach)",TESTIFIED_AGAINST
Nicolas Brabant,"B 8535 no 4; witch 136, Mengin Lamourou paistre de Rozieres",TESTIFIED_AGAINST
Colas Le Maire de Leusse,"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",TESTIFIED_AGAINST
Jacquatte veuve Vaultrin Contal,"B 8979 no 5; witch 328, Jehanne Villaume, veuve Pierre Louvet, drappier de St",TESTIFIED_AGAINST
Colas Mandray de Raves,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",TESTIFIED_AGAINST
Catherine femme a Jean Reillemant de la Chapelle,"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",TESTIFIED_AGAINST
George Mengin de La Bolle,"B 8667 No 5 (1) Witch 143, Jean Diez",TESTIFIED_AGAINST
Henry Errard,"B 4495; witch 082, Claudon la Blanche, veuve Claudon Aulbry, de St Prancher",TESTIFIED_AGAINST
Jean des Auches de la Chapelle,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",TESTIFIED_AGAINST
Jean des Auches de la Chapelle,"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",TESTIFIED_AGAINST
Claude Moictrier,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",TESTIFIED_AGAINST
Nicolas Claude Girard,"B 8707 no 7; witch 259, Jean Seigaire de Nompatelize",TESTIFIED_AGAINST
Benay Grand Maire de la bonne fontaine,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",TESTIFIED_AGAINST
"Mengeon femme Phillippe Masson
2 years before her daughter Jacquette became ill","B 3753; witch 056, Claudette Clauchepied d'Epinal, arretée à Bruyères",TESTIFIED_AGAINST
Jean Colas Lienard,"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",TESTIFIED_AGAINST
Zabey femme Toussainct Gregoire,"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Etival",TESTIFIED_AGAINST
Jennon fille feu Jacot Simon,"B 8687 no 6; witch 204, Mengeatte veuve Colas Lienard de la Rochatte",TESTIFIED_AGAINST
Idatte fille de feu Didier Guerry (mother was Jean Ferry's widow,"B 8682 no 4; witch 182, Georgeatte fille Jean Pelisson, de Moriviller",TESTIFIED_AGAINST
Georgeatte femme Jean Mathieu le jeune,B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,TESTIFIED_AGAINST
Jean Anthoine,"B 8707 no 2; witch 254, Bastien Stablo de la Bolle",TESTIFIED_AGAINST
Margueritte fille de Colas Claudon de Gondrexon,"B 3325 no 1; witch 034, Claudon de Benamenil, living at Gondrexon",TESTIFIED_AGAINST
Hydoulx Grand Didier de La Vacherie,"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",TESTIFIED_AGAINST
Jehennon femme Demenge Mandray,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",TESTIFIED_AGAINST
Margueritte femme Nicolas Adam de Bathelemont,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",TESTIFIED_AGAINST
Jehennon femme Jean Didier Martin de Mazelay,"B 8712 no 4; witch 275, Jehennon veuve Thomas Diez Thomas de Mazelay",TESTIFIED_AGAINST
"Daultzinom de la Croix bourgeois de Ste Marie
Had two children who became ill on","B 9554 no 1; witch 331, Appoline femme Bastien Belz mineur de Ste Marie",TESTIFIED_AGAINST
Jean Demenge Villaume,"B 8687 no 7; witch 205, Georgeatte veuve Jean Grand Didier, de la Vacherie",TESTIFIED_AGAINST
Jean Demenge Villaume,"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",TESTIFIED_AGAINST
Jacot Girard Pechey,"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",TESTIFIED_AGAINST
Jacot Girard Pechey,"B 8702 no 7; Witch 246, Claudatte femme Jean Claudel le Maimbourg, de Raves",TESTIFIED_AGAINST
Jean Diez Gaixatte,"B 8693 no 4; witch 233, Claude Colin Michiel dit Bejolley, de Wisembach",TESTIFIED_AGAINST
Catherine fille Vaultrin Anthoine de Haudouville,"B 8741; witch 315, Margueritte femme Didier Perisc de Mouriviller",TESTIFIED_AGAINST
Margueritte femme Comtin Petit Jean cordonnier,"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",TESTIFIED_AGAINST
Curienne veuve Jean Aulbry,"B 8707 no 6; witch 258, Nicolas Pairson of le Vivier",TESTIFIED_AGAINST
Synelle veuve du feu maitre d'école,"B 5344 no 3; witch 100, Synnelle femme Schneyder Hanns d'Amange (Insming)",TESTIFIED_AGAINST
Bastien veuve le Gros Feltien,"B 5354 no 1; Witch 102, Jennon femme Lux Barquel de Blanche Eglise",TESTIFIED_AGAINST
Jean Grand Jean,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",TESTIFIED_AGAINST
Jean Grand Jean,"B 6723 no 2; witch 108, Jean Cachette de Flin",TESTIFIED_AGAINST
Jean Grand Jean,"B 8682 no 4; witch 182, Georgeatte fille Jean Pelisson, de Moriviller",TESTIFIED_AGAINST
Jean Grand Jean,"Witch 209; B 8689 no 1, Chrétien Pierre, Moriviller",TESTIFIED_AGAINST
Jean Grand Jean,"B 8691 no 4; witch 215, Meline, veuve Nicolas Charier de Raon",TESTIFIED_AGAINST
Jacquin Martin,"B 8678 no 2; witch 169, Marion veuve Demenge le Masson, de St Dié",TESTIFIED_AGAINST
