node,degree,betweenness,rank_type,period
"Witch 278: B8715 no 1, Georgeatte femme de Didier ",21,0.8300395256916996,degree,1515-1519
Nicolas Charier de la Neufville,1,0.0,degree,1515-1519
Le maire Bastien Fournier de la Neufville,1,0.0,degree,1515-1519
Le maire Demenge Guenare de la Neufville,1,0.0,degree,1515-1519
Colas Tiriat de la Neufville,1,0.0,degree,1515-1519
Chrestien Brandec de la Neufville,1,0.0,degree,1515-1519
Claudon Charier de la Neufville,1,0.0,degree,1515-1519
Didier Rondel de la Neufville,1,0.0,degree,1515-1519
? de la Neufville,1,0.0,degree,1515-1519
Estienne Pescheur de la Neufville,1,0.0,degree,1515-1519
"B 8939 ; witch 316, Claudon Charniere, femme Franç",13,0.5735294117647058,degree,1570-1574
B 8939 ; witch 316,3,0.0,degree,1570-1574
Claudon Charniere,3,0.0,degree,1570-1574
femme François Picquet,3,0.0,degree,1570-1574
de St. Nicolas-de-,3,0.0,degree,1570-1574
Jehan Andreu,1,0.0,degree,1570-1574
Claudon des Clochettes,1,0.0,degree,1570-1574
Nicolas Guillet,1,0.0,degree,1570-1574
Francois Berniquet,1,0.0,degree,1570-1574
Didiere femme Jehan Andreu,1,0.0,degree,1570-1574
Ragonne femme Remy Tixerand,1,0.0,betweenness,1570-1574
Sebille veuve Claudon Manouvrier,1,0.0,betweenness,1570-1574
Anne femme Nicolas Lambert,1,0.0,betweenness,1570-1574
Rose veuve Jehan Bourelle,1,0.0,betweenness,1570-1574
B 8941 no 2. Witch 318; Jaulne veuve Nicolas Vince,10,0.19480519480519481,degree,1575-1579
B 8941 no 1. Witch 317; Mengotte femme Pierre Gasc,9,0.15584415584415584,degree,1575-1579
Francoise femme Pieresson Thiebault couvreur,1,0.0,degree,1575-1579
Claudon fils Francoise Pieresson,1,0.0,degree,1575-1579
Nicolas Rouyer,1,0.0,degree,1575-1579
Margueritte femme du precedent,1,0.0,degree,1575-1579
Rose femme Claudin Partye boucher,1,0.0,degree,1575-1579
Anne femme Nicolas Picard orfevre,1,0.0,degree,1575-1579
Nicolas Toural marchand,1,0.0,degree,1575-1579
Pierrot Poullet sergent,1,0.0,degree,1575-1579
"B 5312 no 4; witch 094, Senelle femme du jeune Eng",30,0.02923780077967469,degree,1580-1584
"B 4495; witch 082, Claudon la Blanche, veuve Claud",20,0.012770533673880898,degree,1580-1584
"B 7279; witch 118, Catherine Claude d'Azelot",20,0.012770533673880898,degree,1580-1584
"B 8945; witch 319, Nicole veuve Mengin Nigal, de S",20,0.012770533673880898,degree,1580-1584
"B 8947; witch 320, Mengeatte des Woirelz, veuve Re",14,0.006116413496437693,degree,1580-1584
"B 8260; witch 126, Hillevix, femme Cuguin Magister",13,0.005242640139803737,degree,1580-1584
"B 9554 no 1; witch 331, Appoline femme Bastien Bel",11,0.0036967334319128915,degree,1580-1584
"B 9554 no 2; witch 332, Denisatte femme Nicolas Hu",6,0.0010082000268853341,degree,1580-1584
"B 9554 no 3; witch 333, Jeanne femme Alois Humbert",6,0.0010082000268853341,degree,1580-1584
B 4495; witch 082,3,0.0,degree,1580-1584
Honn homme Panchras Vienot,1,0.0,betweenness,1580-1584
"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",30,0.11363636363636365,degree,1585-1589
"B 4500 no 2 Witch 084, Margueritte Gallier, Hanrio",24,0.07210031347962383,degree,1585-1589
"B 4500 no 3 Witch 085, Jacquotte Gardeux et Marie ",22,0.0603448275862069,degree,1585-1589
B 4500 no 2 Witch 084,3,0.0,degree,1585-1589
Margueritte Gallier,3,0.0,degree,1585-1589
Hanriotte des Boeufs,3,0.0,degree,1585-1589
Claudin Clerget,3,0.0,degree,1585-1589
B 4500 no 1 Witch 083,2,0.0,degree,1585-1589
Jean,2,0.0,degree,1585-1589
