node,n_neighbors,accused_neighbors,exposure_ratio,is_accused
herbs,1,1,1.0,0
above.,10,1,0.1,0
had been crying in poisle,1,1,1.0,0
?,21,3,0.14285714285714285,0
Arnauld,10,1,0.1,0
Margueritte femme Nicolas Aubert,1,1,1.0,0
Colla Symeon,1,1,1.0,0
"B 8667 No 5 (1) Witch 143, Jean Diez",15,0,0.0,1
veuve Pierre Louvet,3,0,0.0,0
Jean Baccon,1,0,0.0,0
B 8721 no 7. Witch 299; Babelon femme Mongeon Voir,22,0,0.0,1
Claudin Thomas,1,0,0.0,0
Elizabetz,1,1,1.0,0
Schlosspetter,1,1,1.0,0
Claudon Barbel,1,0,0.0,0
Jean Blaise,1,0,0.0,0
Barbeline femme Claude Micquel,5,1,0.2,0
Nicolas le Maimbourg de Ginfosse,10,1,0.1,0
Claudon Jean le petit Nicolas de Neumont,1,1,1.0,0
Beniste femme Dieudonné Valence,10,1,0.1,0
Elie femme Colas d'Avould,10,1,0.1,0
Jean Claudon de Domjevin,17,2,0.11764705882352941,0
Lucie veuve Claudon Nicolle,10,1,0.1,0
Barbe Symon femme Laurent François,1,1,1.0,0
Jean fils feu Jean Babel,1,1,1.0,0
Jehan Simon de la Chapelle,1,1,1.0,0
Chrestienne femme a Bernard Faltin de Blamont,1,1,1.0,0
Henry Virion,1,0,0.0,0
Dedielle femme Michiel Jean Michiel,10,1,0.1,0
Jean Thieriot de la Fosse,18,2,0.1111111111111111,0
Jennon femme Demenge des Boeufs,19,2,0.10526315789473684,0
B 8708 no 1; witch 262,2,0,0.0,0
Fleurant Blaise de Hernafain,7,1,0.14285714285714285,0
Hannix fille Husson Bourguignon,10,1,0.1,0
Demenge Jacquot de la Neufville,8,1,0.125,0
Nicolas Sellier de Charmes,5,1,0.2,0
Jean Voirin,10,1,0.1,0
Chrepien Cesar Chrepien,1,1,1.0,0
Laurent Maurisse de Bathelemont,1,1,1.0,0
Dieudonnée femme Jacquin Frampart,10,1,0.1,0
David Pierre,1,0,0.0,0
Meline femme Anthoine Marlier,1,1,1.0,0
Pieron Jean Pieron,1,1,1.0,0
Claudel Remy du Void de Belmont,1,1,1.0,0
Valentine femme Jean Michiel,11,2,0.18181818181818182,0
