node,degree,avg_neighbor_degree,spreading_potential,is_accused
Demenge,19,43.68421052631579,830.0,0
Jean,32,23.59375,755.0,0
Catherine femme du precedent,52,12.923076923076923,672.0,0
Jennon femme du precedent,50,12.58,629.0,0
Marguitte femme du precedent,50,12.0,600.0,0
Nicolas,18,30.944444444444443,557.0,0
Fran,8,65.375,523.0,0
Jennon,129,3.9767441860465116,513.0,0
Colas,14,35.5,497.0,0
Claudon,41,11.35,465.34999999999997,0
Nicolas Olry,22,20.59090909090909,453.0,0
Catherine,138,3.246376811594203,448.0,0
Jean Grand Didier,38,11.789473684210526,448.0,0
Jehennon,61,6.918032786885246,422.0,0
Jean Demenge,11,38.09090909090909,419.0,0
Colas Jean,9,46.44444444444444,418.0,0
Henry Claudon,21,19.80952380952381,416.0,0
Colas Moullot,20,20.6,412.0,0
Mengeon Claude Mariatte,27,14.814814814814815,400.0,0
Didier Chottey,30,13.266666666666667,398.0,0
Jean Grand,6,63.0,378.0,0
Jean Henry,16,23.5625,377.0,0
Claudon le Clerc,29,12.758620689655173,370.0,0
Marguitte,64,5.65625,362.0,0
Anthoinette,25,14.0,350.0,0
Didier Thiebault,20,17.45,349.0,0
Dieudonné Jean,11,31.636363636363637,348.0,0
Claudon Jean,15,23.0,345.0,0
Jean Pieron,15,22.666666666666668,340.0,0
Demenge Remy,12,28.333333333333332,340.0,0
Colas Gerard,14,24.214285714285715,339.0,0
Claudatte,81,4.148148148148148,336.0,0
Jean Mongeay,13,25.153846153846153,327.0,0
Margueritte,92,3.5434782608695654,326.0,0
Jean le Clerc,29,11.241379310344827,326.0,0
Jean Grand Jean,23,14.130434782608695,325.0,0
Claudon Estienne,15,21.6,324.0,0
Demenge Simon,13,24.846153846153847,323.0,0
Jean Bertremin,12,26.75,321.0,0
Claudon femme du precedent,21,15.238095238095237,320.0,0
Nicolas Simon,18,17.72222222222222,319.0,0
Jean Mengin,13,24.307692307692307,316.0,0
Marguitte veuve Claudon Claude Jean Mariatte,19,16.473684210526315,313.0,0
Jean Regnauldin,21,14.714285714285714,309.0,0
Jean Clement,12,25.666666666666668,308.0,0
Jean Magdelaine,24,12.75,306.0,0
Jean Masson,6,50.833333333333336,305.0,0
Claudon Besson,11,27.09090909090909,298.0,0
Marie,58,5.120689655172414,297.0,0
Mengeotte femme du precedent,29,10.206896551724139,296.0,0
Jean Menusier,23,12.826086956521738,295.0,0
Annon veuve Bastien Piernille,20,14.65,293.0,0
Jennon femme Demenge des Boeufs,19,15.263157894736842,290.0,0
Jean Didier,16,18.0625,289.0,0
Gerard Marchal,20,14.4,288.0,0
Zabel femme Demenge Ganaire,19,15.105263157894736,287.0,0
Barbe femme du precedent,22,13.045454545454545,287.0,0
Colas Mandray,19,15.052631578947368,286.0,0
Marguerite femme du precedent,20,14.25,285.0,0
Jean le Maire,19,14.947368421052632,284.0,0
Nicolas Vaultrin,14,20.285714285714285,284.0,0
Idoult Jean Martin,21,13.428571428571429,282.0,0
Remy Valdeliepvre,21,13.380952380952381,281.0,0
Claudon Hennemant,11,25.454545454545453,280.0,0
Estienne Connot,20,13.9,278.0,0
Anthoine,6,46.166666666666664,277.0,0
Jennon veuve Claudon Jacquemin,20,13.8,276.0,0
Claudin Babel,11,24.454545454545453,269.0,0
Fleurent Bazelaire,10,26.8,268.0,0
Jean Charpentier,13,20.615384615384617,268.0,0
Claudon Marchal,21,12.714285714285714,267.0,0
Claudatte femme du precedent,21,12.666666666666666,266.0,0
Maurice Mongeon,11,24.181818181818183,266.0,0
Billon femme Jean du Sal,19,13.947368421052632,265.0,0
Mengeon Jean,5,53.0,265.0,0
Jacquin Thiebault,19,13.947368421052632,265.0,0
Barbe,48,5.479166666666667,263.0,0
Colas Gaixotte,11,23.818181818181817,262.0,0
Jean Doridant,12,21.75,261.0,0
Gerard Bertrand,18,14.222222222222221,256.0,0
Epuron Jany,18,14.222222222222221,256.0,0
Claudon Bresson,11,23.272727272727273,256.0,0
Demengeon Claude Girard,21,12.19047619047619,256.0,0
Demenge Jacquemin,13,19.692307692307693,256.0,0
Nicolle femme du precedent,20,12.75,255.0,0
