canonical_id,canonical_name,num_trials,trial_ids,years_active,gender,locations,became_accused,personal_suspicion
E00004,clau,87,"['w321', 'w055', 'w254', 'w164', 'w256', 'w190', 'w245', 'w019', 'w076', 'w168', 'w051', 'w148', 'w175', 'w136', 'w123', 'w053', 'w090', 'w046', 'w084', 'w039', 'w246', 'w293', 'w073', 'w142', 'w313', 'w040', 'w174', 'w285', 'w269', 'w162', 'w303', 'w008', 'w180', 'w342', 'w138', 'w078', 'w141', 'w072', 'w295', 'w185', 'w301', 'w109', 'w186', 'w068', 'w016', 'w107', 'w173', 'w288', 'w194', 'w048', 'w027', 'w151', 'w079', 'w176', 'w025', 'w102', 'w296', 'w003', 'w195', 'w255', 'w232', 'w077', 'w233', 'w083', 'w302', 'w087', 'w311', 'w336', 'w297', 'w108', 'w152', 'w310', 'w001', 'w322', 'w155', 'w315', 'w070', 'w085', 'w156', 'w112', 'w059', 'w241', 'w193', 'w240', 'w289', 'w226', 'w290']","[1586, 1590, 1591, 1592, 1593, 1595, 1596, 1597, 1598, 1599, 1600, 1601, 1602, 1603, 1604, 1607, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624, 1626, 1628]",male,"['Faing-', 'Vervezelle', 'Porsieux', 'Moyenmoutier', 'Hervafain', 'Claude Cabled', 'Fontenay', 'Voincheres', 'Mouriviller', 'Jean Marsellot', 'Parroie', 'Essegney', 'Laulnay', 'Combrimont', 'Claudon Lallemend', 'Condé', 'Layegotte', 'Raon', 'Charmes', 'Entre-deux-', 'Chanoy', 'Sainte Margarée', 'Void', 'Paire', 'Fouchifol', 'Marsal', 'Fer', 'Develine', 'Anoulsey', 'Reillon', 'St Lyenard', 'St Nicolas', 'Belmont', 'Grantviller']",True,True
E00140,jean,58,"['w108', 'w107', 'w152', 'w230', 'w291', 'w236', 'w300', 'w266', 'w294', 'w235', 'w212', 'w333', 'w231', 'w285', 'w048', 'w176', 'w229', 'w172', 'w280', 'w163', 'w308', 'w131', 'w160', 'w165', 'w003', 'w282', 'w175', 'w319', 'w247', 'w156', 'w298', 'w204', 'w122', 'w338', 'w023', 'w272', 'w059', 'w265', 'w139', 'w159', 'w270', 'w257', 'w035', 'w233', 'w241', 'w109', 'w033', 'w018', 'w248', 'w259', 'w205', 'w292', 'w336', 'w011', 'w039', 'w014', 'w284', 'w013']","[1581, 1582, 1590, 1592, 1593, 1596, 1597, 1598, 1599, 1601, 1602, 1603, 1604, 1606, 1607, 1608, 1609, 1611, 1612, 1614, 1615, 1616, 1617, 1618, 1620, 1624, 1625]",male,"['Chanoy', 'Brouvelieures', 'Loizey', 'Lalebarde', 'Bussang', 'Haillieulle', 'Xennenay', 'Laistre', 'Raon', 'Saint Remy', 'Saulcy', 'Pajaille']",False,True
E01088,marguitte,49,"['w200', 'w250', 'w214', 'w199', 'w202', 'w288', 'w300', 'w197', 'w219', 'w231', 'w269', 'w189', 'w239', 'w188', 'w258', 'w168', 'w160', 'w339', 'w143', 'w268', 'w175', 'w195', 'w260', 'w293', 'w191', 'w215', 'w338', 'w208', 'w207', 'w234', 'w159', 'w225', 'w169', 'w233', 'w224', 'w099', 'w192', 'w248', 'w292', 'w205', 'w240', 'w227', 'w226', 'w284', 'w267', 'w198', 'w287', 'w172', 'w126']","[1584, 1592, 1596, 1597, 1599, 1600, 1601, 1602, 1603, 1604, 1608, 1609, 1611, 1614, 1616, 1617, 1618, 1630]",female,['Raon'],False,True
E00159,marie,44,"['w073', 'w297', 'w313', 'w115', 'w194', 'w212', 'w164', 'w333', 'w098', 'w052', 'w061', 'w305', 'w066', 'w094', 'w060', 'w280', 'w119', 'w275', 'w076', 'w339', 'w315', 'w175', 'w319', 'w123', 'w340', 'w215', 'w338', 'w023', 'w093', 'w274', 'w238', 'w234', 'w083', 'w074', 'w302', 'w110', 'w273', 'w018', 'w021', 'w006', 'w307', 'w011', 'w309', 'w336']","[1581, 1582, 1584, 1586, 1590, 1591, 1594, 1596, 1597, 1598, 1599, 1602, 1604, 1607, 1608, 1614, 1615, 1617, 1618, 1619, 1620, 1621, 1623, 1624, 1625, 1628, 1630, 1645]",female,"['Saint Dié', 'Mazelay', 'Clement Behel', 'Jean Bocquel', 'St Nicolas', 'Bruyeres', 'Raon', 'Sainte Croix', 'Mouriviller']",False,True
E00097,barbe,37,"['w016', 'w095', 'w128', 'w005', 'w050', 'w245', 'w094', 'w221', 'w249', 'w303', 'w327', 'w124', 'w328', 'w003', 'w002', 'w070', 'w085', 'w340', 'w082', 'w123', 'w122', 'w007', 'w234', 'w106', 'w031', 'w329', 'w241', 'w307', 'w018', 'w084', 'w105', 'w006', 'w292', 'w311', 'w325', 'w166', 'w290']","[1584, 1586, 1594, 1596, 1597, 1599, 1602, 1603, 1604, 1606, 1608, 1609, 1610, 1612, 1613, 1615, 1616, 1617, 1619, 1621, 1624, 1645]",female,['Moyenmoutier'],False,True
E00095,mengeotte,34,"['w200', 'w152', 'w291', 'w266', 'w202', 'w271', 'w133', 'w206', 'w125', 'w161', 'w061', 'w231', 'w151', 'w310', 'w258', 'w127', 'w002', 'w082', 'w092', 'w007', 'w270', 'w257', 'w106', 'w074', 'w110', 'w137', 'w192', 'w205', 'w117', 'w045', 'w312', 'w284', 'w198', 'w329']","[1584, 1593, 1594, 1596, 1599, 1600, 1601, 1603, 1604, 1608, 1610, 1611, 1612, 1613, 1615, 1616, 1617, 1618, 1624, 1626]",female,"['Bathelemont', 'Aidoile', 'Haréville', 'Develline', 'Rozieres', 'St Nicolas', 'Guillaume Redoubte', 'Raon', 'St Remy', 'Pajaille', 'Mesnil']",False,True
E00118,claudon nicolas gerardin,25,"['w230', 'w236', 'w055', 'w264', 'w133', 'w206', 'w269', 'w189', 'w239', 'w153', 'w316', 'w258', 'w003', 'w201', 'w319', 'w276', 'w112', 'w032', 'w170', 'w306', 'w090', 'w067', 'w006', 'w193', 'w277']","[1572, 1582, 1591, 1594, 1596, 1599, 1600, 1601, 1602, 1603, 1607, 1608, 1611, 1612, 1614, 1615, 1619, 1620, 1623, 1626]",male,"['Remomeix', 'Brehimont', 'Condé', 'Belmont', 'Benamesnil']",False,True
E00394,jennon jean,23,"['w173', 'w223', 'w189', 'w183', 'w044', 'w043', 'w258', 'w165', 'w247', 'w215', 'w272', 'w208', 'w207', 'w093', 'w251', 'w238', 'w234', 'w232', 'w257', 'w233', 'w241', 'w033', 'w267']","[1594, 1596, 1598, 1599, 1600, 1602, 1603, 1604, 1606, 1608, 1609, 1610, 1611, 1614]",female,['Benaumesnil'],False,True
E00350,jehennon,22,"['w263', 'w236', 'w254', 'w271', 'w026', 'w184', 'w197', 'w253', 'w245', 'w239', 'w153', 'w337', 'w344', 'w150', 'w340', 'w295', 'w224', 'w273', 'w336', 'w320', 'w286', 'w293']","[1584, 1590, 1593, 1594, 1598, 1600, 1602, 1603, 1607, 1608, 1609, 1610, 1611, 1614, 1616, 1618, 1645]",female,"['Mortaigne', 'Robache']",False,True
E00046,jennon claudon girard,21,"['w200', 'w266', 'w300', 'w231', 'w048', 'w229', 'w043', 'w249', 'w168', 'w201', 'w261', 'w180', 'w175', 'w247', 'w260', 'w024', 'w169', 'w302', 'w248', 'w284', 'w290']","[1596, 1597, 1598, 1599, 1601, 1603, 1604, 1608, 1609, 1611, 1614, 1616, 1617, 1618, 1619]",female,"['St Remy', 'Merviller']",False,False
