node_name,is_accused,is_witness,gender,gender_female,gender_male,brokerage_score,degree,betweenness_centrality,pagerank,closeness_centrality,eigenvector_centrality,clustering_coefficient,constraint,predicted_prob,predicted_accused
"& (11) Missing - very short.
(12) Jean Parmentier",0,1,unknown,0,0,0.0,10,0.0,0.0001472592049462,0.1728150908952613,0.0254839751697125,1.0,0.3074076100113685,0.4904187063069464,0
(6) Barbe fille de feu Rock Olry,0,1,unknown,0,0,0.0,10,0.0,0.0001817838564161,0.1739796309058886,0.0019511696078894,1.0,0.3263712861453121,0.5117308051484288,1
"(Unknown witness)
Knew nothing of Colas.",0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
"(Unknown witness)
Repeated story about curé and his sickness; had not yet been a",0,1,unknown,0,0,0.0,10,0.0,0.0001447780516423,0.0,0.0,1.0,0.361,0.6147245837640691,1
"(Unknown witness)
Story of argument over a cow whose lease Colas wanted to prolo",0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
"(unknown witness)
For several years had heard 'des particuliers qui cachettement",0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
"(unknown witness)
Witch 145",0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
"(woman witness - page damaged)
About 20 years before Colas' mother Margo had bee",0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
1594,0,0,unknown,0,0,0.0,4,0.0,0.0001270518879907,0.0,0.0,1.0,0.765625,0.39733077824077684,0
20 March -,0,0,unknown,0,0,0.0,2,0.0,0.0001270518879907,0.0,0.0,1.0,1.125,0.33067280035649965,0
?,0,1,unknown,0,0,0.5714285714285714,21,0.0040940890410798,0.0003396348306665,0.1794487007345391,0.0033869162005735,0.4285714285714285,0.1578987413950887,0.9447251058667155,1
"?
(6) Claudon du Haut - partly missing",0,1,unknown,0,0,0.0,8,0.0,0.0001347247060555,0.1507280989816565,0.0003947581056283,1.0,0.4281382619598765,0.4438061273423076,0
"?
Long reputation
(4) Jean Claudel de Girompaire",0,1,unknown,0,0,0.0,10,0.0,0.0001482268067754,0.161547212741752,0.0066242463996253,1.0,0.2745217316177445,0.5086094816882676,1
"? (damage)
Her late husband had been going as soldier for duke 3 years earlier",0,1,unknown,0,0,0.0,10,0.0,0.0001716311649311,0.1624191299996425,0.000492316195249,1.0,0.3517347107438016,0.5174813865365553,1
