name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
jean bulme et didiere sa femme,E00001,accused,male,death_sentence,['Mazerulles'],2,False,True
witch,E00002,accused,female,death_sentence,"['Blamont', 'Remémont', 'Wisembach', 'Colroy', 'Bathelemont-les-', 'Epinal', 'Nompatelize', 'Ste Marguerite', 'Mandray', 'Amange', 'Amance', 'Norbepaire', 'Villers-sous-', 'Saulcy', 'Domjevin', 'Laygoutte', 'Void', 'Bisping', 'Bettoncourt', 'Grand Rombach', 'Blanche Eglise', 'Lubine', 'St Nicolas', 'Maizieres', 'Coincourt', 'Anozel', 'Brehimont', 'Fontenay', 'Chastay', 'Guinzeling', 'La Fosse', 'Gripport', 'Bois', 'Ramonchamp', 'St Prancher', 'Aydoilles', 'Leuce', 'Hymont', 'Neufviller', 'Banc', 'Mesnil', 'Girovillers-sous-', 'Vic', 'Saint Dié', 'Mazelay', 'Seuche', 'Flin', 'Fouchy', 'Jarville', 'Malzeville', 'Bruy', 'Girompaire', 'Sauceray', 'Vivier', 'Dompierre', 'Paire', 'Viel Marché', 'Remomeix', 'Develine', 'Preny', 'Rozieres', 'Mulcey', 'Assenoncourt', 'Vieux Marché', 'Raves', 'Ginfosse', 'Moyenmoutier', 'Benifosse', 'Mouriviller', 'Laval', 'Ambacourt', 'Condé', 'Xennenay', 'Nancy', 'La Vacherie', 'Saulceray', 'Raon', 'Mazerulles', 'Charmes', 'Docelles', 'Sarupt', 'Pajaille', 'St Jean', 'St Dié', 'Pair', 'St Marguerite', 'Saulcy-sur-', 'Entre-deux-', 'Autrepierre', 'Vilcey-sur-', 'Fouchifol', 'Azelot', 'Thillot', 'Parey-sous-', 'Nutting', 'Saint Nicolas', 'Repas', 'St Blaise', 'Ste Marie', 'Bainville', 'Wirming', 'Benamenil', 'Pargny', 'Bourget', 'St', 'Haréville', 'Vandeuvre', 'Menil', 'La Neuveville-les-', 'Sallonne', 'Vacqueville', 'Moriviller', 'Bassing', 'Villoncourt', 'Val', 'Brouvelieures', 'Leintrey', 'Laitre-sous-', 'Einville', 'Sachemont', 'Bertrimoutier', 'Faing', 'Neufch', 'Ste Croix', 'Xouarupt', 'Reillon', 'Clefcy', 'Grattain', 'Blemerey', 'Champegnoult']",250,False,True
b 2192 no,E00003,accused,female,death_sentence,['Sallonne'],1,False,False
clau,E00004,accused,male,released,"['Faing-', 'Vervezelle', 'Porsieux', 'Moyenmoutier', 'Hervafain', 'Claude Cabled', 'Fontenay', 'Voincheres', 'Mouriviller', 'Jean Marsellot', 'Parroie', 'Essegney', 'Laulnay', 'Combrimont', 'Claudon Lallemend', 'Condé', 'Layegotte', 'Raon', 'Charmes', 'Entre-deux-', 'Chanoy', 'Sainte Margarée', 'Void', 'Paire', 'Fouchifol', 'Marsal', 'Fer', 'Develine', 'Anoulsey', 'Reillon', 'St Lyenard', 'St Nicolas', 'Belmont', 'Grantviller']",129,True,True
b 4077 no 1 witch,E00005,accused,female,death_sentence,[],1,False,False
b 4077 no 2 witch,E00006,accused,male,death_sentence,[],1,False,False
b 4077 no 3 witch,E00007,accused,unknown,death_sentence,[],1,False,False
b 4093 (1) witch,E00008,accused,male,death_sentence,['Socourt'],1,False,False
b 4094 no 1 witch,E00009,accused,female,death_sentence,[],1,False,False
b 4094 no 2 witch,E00010,accused,unknown,death_sentence,[],1,False,False
b 4126 no 1 witch,E00011,accused,unknown,death_sentence,[],1,False,False
b 4126 no 2 witch,E00012,accused,male,death_sentence,['Puy'],1,False,False
b 4126 no 3 witch,E00013,accused,male,death_sentence,[],1,False,False
b 4444 witch,E00014,accused,unknown,death_sentence,[],1,False,False
b 4500 no 1 witch,E00015,accused,male,death_sentence,[],1,False,False
b 4500 no 2 witch,E00016,accused,unknown,death_sentence,[],1,False,False
b 4500 no 3 witch,E00017,accused,female,death_sentence,[],1,False,False
b 4535 no 1 witch,E00018,accused,unknown,unknown,[],1,False,False
gauthine again interrogated first;,E00019,accused,unknown,death_sentence,[],1,False,False
b 4569 no 1 witch,E00020,accused,unknown,death_sentence,[],1,False,False
b 6723 no 1: witch,E00021,accused,female,death_sentence,['Flin'],1,False,False
mengeatte grand jacques,E00022,accused,female,death_sentence,['Rehainviller'],1,False,False
b 8667 no 1 witch,E00023,accused,unknown,death_sentence,[],1,False,False
b 8667 no 2 witch,E00024,accused,female,death_sentence,[],1,False,False
b 8667 no 3 witch,E00025,accused,unknown,released,[],1,False,False
b 8667 no 4 witch,E00026,accused,unknown,released,[],1,False,False
b 8667 no 5 (1) witch,E00027,accused,male,death_sentence,[],1,False,False
b 8667 no 6 witch,E00028,accused,unknown,death_sentence,['Sambois'],1,False,False
: b8667 no,E00029,accused,female,death_sentence,"['Saint Remy', 'Viel Marché']",2,False,False
: b8667 no 9: laurence george jolbay,E00030,accused,female,death_sentence,['Ste Margaree'],1,False,False
: b8677 no,E00031,accused,female,death_sentence,"['Bonipaire', 'St Dié', 'La Chapelle', 'Hault']",5,False,False
b8677 no,E00032,accused,male,death_sentence,[],2,False,False
b8667 no,E00033,accused,female,death_sentence,['La Chapelle'],1,False,False
b 8684 no 1. witch,E00034,accused,male,death_sentence,['Hurbache'],1,False,False
marion,E00035,accused,female,unknown,['Sauceray'],19,True,True
b 8684 no 3. witch,E00036,accused,female,death_sentence,['Clefcy'],1,False,False
b 8684 no 6. witch,E00037,accused,female,released,['Clefcy'],1,False,False
jean lallemant,E00038,accused,male,death_sentence,"['Dompierre', 'St Lienard']",2,False,True
b 8684 no 8. witch,E00039,accused,female,death_sentence,['Sarupt'],1,False,False
b 8684 no 9. witch,E00040,accused,male,death_sentence,['St Lienard'],1,False,False
