node,degree,neighbor_edges,possible_edges,closure_ratio,brokerage_score,entity_type,gender
Benite,3,0,3,0.0,1.0,unknown,unknown
Barbelline,24,0,276,0.0,1.0,unknown,unknown
Claudon Claude,4,0,6,0.0,1.0,unknown,unknown
Cleron,4,0,6,0.0,1.0,unknown,unknown
"B 8712 no 5; witch 276, Dieudonné Jean Thierion, of Brehimont",22,0,231,0.0,1.0,unknown,unknown
Mengeatte femme du precedent,3,0,3,0.0,1.0,unknown,unknown
Jean Michiel,3,0,3,0.0,1.0,unknown,unknown
Gabriel Ozelle,3,0,3,0.0,1.0,unknown,unknown
Annon,15,0,105,0.0,1.0,unknown,unknown
Mayette,3,0,3,0.0,1.0,unknown,unknown
Nicolle,15,0,105,0.0,1.0,unknown,unknown
"B 3347 no 2; witch 049, Jean Godot de Domjevin",23,0,253,0.0,1.0,unknown,unknown
Demenge Jean,4,0,6,0.0,1.0,unknown,unknown
Claudate,5,0,10,0.0,1.0,unknown,unknown
Alizon,16,0,120,0.0,1.0,unknown,unknown
"B 8717 no 5; witch 288, Demenge Mathis, of Entre-deux-Eaux",21,0,210,0.0,1.0,unknown,unknown
Zabillon,5,0,10,0.0,1.0,unknown,unknown
Nicolas Demenge,3,0,3,0.0,1.0,unknown,unknown
Demenge Purel,3,0,3,0.0,1.0,unknown,unknown
Barbon,13,0,78,0.0,1.0,unknown,unknown
Colin,3,0,3,0.0,1.0,unknown,unknown
"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",32,0,496,0.0,1.0,unknown,unknown
"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay (Ban-de-Sapt)",25,0,300,0.0,1.0,unknown,unknown
Mengeon Jean,5,0,10,0.0,1.0,unknown,unknown
"B 8959 no 1; witch 321, Barbon femme Nicolas Moictrier, de Saint Nicolas",36,0,630,0.0,1.0,unknown,unknown
Colas Henry,3,0,3,0.0,1.0,unknown,unknown
Babon,4,0,6,0.0,1.0,unknown,unknown
B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,37,0,666,0.0,1.0,unknown,unknown
Ysabel,4,0,6,0.0,1.0,unknown,unknown
Blaisotte,3,0,3,0.0,1.0,unknown,unknown
Didielle,9,0,36,0.0,1.0,unknown,unknown
Jean Bocquel,3,0,3,0.0,1.0,unknown,unknown
Demenge Marchal,3,0,3,0.0,1.0,unknown,unknown
Jean Petit,3,0,3,0.0,1.0,unknown,unknown
"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",54,0,1431,0.0,1.0,unknown,unknown
Elizabeth femme du precedent,3,0,3,0.0,1.0,unknown,unknown
Demenge Mathieu,3,0,3,0.0,1.0,unknown,unknown
Claudon Toutblanc,3,0,3,0.0,1.0,unknown,unknown
Bastien,3,0,3,0.0,1.0,unknown,unknown
Annel,4,0,6,0.0,1.0,unknown,unknown
Claudon Valtin le Jeune de la Chapelle,3,0,3,0.0,1.0,unknown,unknown
Jean Mathieu,4,0,6,0.0,1.0,unknown,unknown
Sibille,4,0,6,0.0,1.0,unknown,unknown
Jean George,5,0,10,0.0,1.0,unknown,unknown
Jacquatte,6,0,15,0.0,1.0,unknown,unknown
Jean Bertrand,5,0,10,0.0,1.0,unknown,unknown
Humbert Dedion,3,0,3,0.0,1.0,unknown,unknown
Valentine,3,0,3,0.0,1.0,unknown,unknown
Nicolas Gerardin,3,0,3,0.0,1.0,unknown,unknown
Jean Girardin,3,0,3,0.0,1.0,unknown,unknown
Odille,9,0,36,0.0,1.0,unknown,unknown
Nicolas Villaume,4,0,6,0.0,1.0,unknown,unknown
Agnes,5,0,10,0.0,1.0,unknown,unknown
Nicolas Jean,3,0,3,0.0,1.0,unknown,unknown
"B 8684 no 3. Witch 77, Françatte veuve Claudon Jardel de Clefcy",24,0,276,0.0,1.0,unknown,unknown
Babillon,5,0,10,0.0,1.0,unknown,unknown
Royne,3,0,3,0.0,1.0,unknown,unknown
Germaine,4,0,6,0.0,1.0,unknown,unknown
"B 5344 no 3; witch 100, Synnelle femme Schneyder Hanns d'Amange (Insming)",21,0,210,0.0,1.0,unknown,unknown
Agatte,3,0,3,0.0,1.0,unknown,unknown
Demenge Colas,4,0,6,0.0,1.0,unknown,unknown
"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",57,0,1596,0.0,1.0,unknown,unknown
Colas Claude,3,0,3,0.0,1.0,unknown,unknown
Nicolas Symmonet,3,0,3,0.0,1.0,unknown,unknown
B 8708 no 5; witch 266; Jennon femme Claudon Girard de St Remy.,21,0,210,0.0,1.0,unknown,unknown
Jean Gelliat,3,0,3,0.0,1.0,unknown,unknown
"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",54,0,1431,0.0,1.0,unknown,unknown
Benitte,3,0,3,0.0,1.0,unknown,unknown
