period,n_nodes,n_edges,density,avg_degree,n_components,largest_component,component_frac,avg_clustering
1515-1519,24,22,0.07971014492753623,1.8333333333333333,2,22,0.9166666666666666,0.0
1550-1554,2,1,1.0,1.0,1,2,1.0,0.0
1560-1564,3,3,1.0,2.0,1,3,1.0,1.0
1570-1574,18,19,0.12418300653594772,2.111111111111111,2,14,0.7777777777777778,0.2222222222222222
1575-1579,23,20,0.07905138339920949,1.7391304347826086,3,11,0.4782608695652174,0.0
1580-1584,174,165,0.010962726729120988,1.896551724137931,18,31,0.1781609195402299,0.09770114942528736
1585-1589,89,88,0.02247191011235955,1.9775280898876404,6,31,0.34831460674157305,0.11235955056179775
1590-1594,556,525,0.0034026832587983665,1.8884892086330936,51,46,0.08273381294964029,0.07014388489208633
1595-1599,1059,1028,0.0018350228753094815,1.9414542020774315,96,197,0.18602455146364494,0.09370924951661495
1600-1604,1152,1170,0.0017647697654213728,2.03125,75,409,0.3550347222222222,0.08996807590557591
1605-1609,649,643,0.0030578858262474084,1.9815100154083205,52,116,0.17873651771956856,0.10087313816127376
1610-1614,800,763,0.0023873591989987484,1.9075,60,123,0.15375,0.050916666666666666
1615-1619,887,848,0.0021580848015350907,1.9120631341600902,76,89,0.10033821871476889,0.09282224727546035
1620-1624,494,477,0.00391718882164062,1.9311740890688258,42,109,0.22064777327935223,0.08515519568151148
1625-1629,125,114,0.014709677419354838,1.824,16,22,0.176,0.10666666666666667
1630-1634,19,18,0.10526315789473684,1.894736842105263,2,16,0.8421052631578947,0.15789473684210525
1645-1649,41,40,0.04878048780487805,1.951219512195122,2,38,0.926829268292683,0.07317073170731707
1655-1659,2,1,1.0,1.0,1,2,1.0,0.0
